hospital_id,hospital_name,address,city,state,zip_code,phone_number,email,established_year,num_beds,num_departments,director_name,emergency_contact,rating,accreditation
3925,Soto PLC Hospital,015 Carrillo Island,Pughtown,Michigan,26109,2675080839,angela97@hotmail.com,1999,143,8,Robyn Coleman,0831213815,4.6,ISO9001
6870,Johnson-Smith Hospital,368 Kelly Trail Suite 628,West Carolynborough,Maine,63614,4970989589,michael32@daniel.info,1954,242,19,Sarah Hurst,6805264020,4.8,JCI
7317,Roth-Marquez Hospital,85047 Heather Inlet,Jeffreybury,Pennsylvania,06295,8937232316,rhudson@gmail.com,1993,131,15,Erin Jones,0847398039,4.2,JCI
6606,Martinez and Sons Hospital,54920 Williams Coves Apt. 738,East Oliviastad,Connecticut,71759,4432073352,darryl79@chavez.net,2020,364,10,Alexander Dawson III,1474102255,3.6,JCI
9182,"Hardy, Short and Rosario Hospital",6060 Steven Prairie,Lake Regina,Idaho,03039,6505916280,brittneysmith@yahoo.com,1966,290,14,Theresa Walker,9541725254,4.0,NABH
4639,Boyd Inc Hospital,997 Richard Parkway Suite 186,East Timborough,Iowa,86404,3164615323,eavery@yoder.info,2002,348,14,Sandra Martin,9841543810,4.9,JCI
6530,Miller Inc Hospital,899 Amber Light,Lake John,Michigan,37001,2388534307,sbrown@robinson.biz,1954,180,16,Zachary Cantu,0023953430,3.0,JCI
7477,Dennis-Thomas Hospital,771 Catherine Fall,Gonzalezburgh,Wyoming,01236,2794343171,glovermadeline@yahoo.com,1999,374,15,Danielle House,5084994952,4.8,ISO9001
9288,"Harris, Harper and Buckley Hospital",06140 Michaela Inlet Apt. 742,North Jessetown,South Dakota,70864,0720388596,daniel19@alvarado.com,1974,494,18,Edward Patel,8892735649,3.4,JCI
7298,Martinez Inc Hospital,112 Wesley Green Suite 729,Peterborough,Iowa,20309,0338685297,brandontaylor@hotmail.com,2017,185,5,Tammy Mclean,7400230349,3.8,JCI
9254,"Kelley, Rojas and Harrison Hospital",95960 Erin Cape,Melindaland,Nevada,21258,9569627375,stephenstyler@barber.com,2003,347,8,Claudia Mitchell,1897538969,4.0,JCI
7297,"Campbell, Phillips and Robles Hospital",617 Lisa Glens Suite 283,Kingburgh,North Carolina,25168,4667814630,krobinson@palmer.org,1989,243,13,Holly Ingram,8521159571,3.7,JCI
3273,Richards-Sloan Hospital,0562 Sarah Glen,South Anthonymouth,Kansas,51939,6687451584,dicksonkari@yahoo.com,1958,199,6,David Johnson,5325893940,4.4,NABH
8892,Stark-Harris Hospital,62009 Stephanie Island,Samanthaburgh,Washington,52675,1394738408,rogersjacob@hotmail.com,1967,128,19,Desiree Alexander,2904679128,3.2,JCI
3954,"Gonzalez, Miller and Taylor Hospital",30961 Kendra Stravenue,Emilyburgh,Arkansas,18432,4037411084,longmadeline@olson.com,1961,421,19,Ariana Alvarado,5960044032,3.3,NABH
4337,Roth-Hogan Hospital,302 Thomas Bypass Suite 600,South William,New Hampshire,83046,9044114933,rothcourtney@yahoo.com,1965,301,8,Christina Hernandez,7579054368,5.0,ISO9001
